inst,bar,price,vol,thr,dir,pos,pnl,equity,vol_q,thr_q,is_new_swing
0,1,38.11,0.0005124183006535969,,0,0,-0.0,0.0,0,,True
1,1,69.98,0.001865044888502753,,0,0,0.0,0.0,0,,False
2,1,62.39,0.000699097938144335,,0,0,0.0,0.0,0,,False
3,1,31.74,0.000264150943396236,,0,0,-0.0,0.0,0,,False
4,1,62.49,0.0011553721631486977,,0,0,-0.0,0.0,0,,False
5,1,28.23,0.00034628975265017754,,0,0,-0.0,0.0,0,,False
6,1,37.13,0.0007581911724885028,,0,0,0.0,0.0,0,,False
7,1,42.85,0.0012306268794818286,,0,0,-0.0,0.0,0,,False
8,1,41.85,0.0015220987946112073,,0,0,-0.0,0.0,0,,False
9,1,68.41,0.002161199346890293,,0,0,0.0,0.0,0,,False
10,1,26.98,5.187106335678849e-05,,0,0,-0.0,0.0,0,,False
11,1,47.64,0.0008470686417692451,,0,0,-0.0,0.0,0,,False
12,1,27.23,0.00035897435897436024,,0,0,-0.0,0.0,0,,False
13,1,52.21,0.0006140350877192889,,0,0,-0.0,0.0,0,,False
14,1,50.42,0.0023145161290322575,,0,0,0.0,0.0,0,,False
15,1,50.79,0.00022086373496351376,,0,0,0.0,0.0,0,,False
16,1,57.81,0.0008037578288100357,,0,0,0.0,0.0,0,,False
17,1,27.87,0.0028707433174661413,,0,0,0.0,0.0,0,,False
18,1,37.04,0.000569259962049329,,0,0,0.0,0.0,0,,False
19,1,32.5,0.00042944785276074224,,0,0,-0.0,0.0,0,,False
20,1,47.92,0.0005818786367414686,,0,0,-0.0,0.0,0,,False
21,1,33.1,0.0015062761506276108,,0,0,-0.0,0.0,0,,False
22,1,74.84,0.0007812915227212354,,0,0,-0.0,0.0,0,,False
23,1,66.13,0.0005902725493148645,,0,0,-0.0,0.0,0,,False
24,1,76.8,0.0004939239513916046,,0,0,0.0,0.0,0,,False
25,1,53.06,0.0014663873547895764,,0,0,0.0,0.0,0,,False
26,1,36.59,0.0006853413108512358,,0,0,-0.0,0.0,0,,False
27,1,26.13,0.0026198830409356784,,0,0,0.0,0.0,0,,False
28,1,58.99,0.0007875894988066947,,0,0,0.0,0.0,0,,False
29,1,27.21,0.0016660468575678703,,0,0,0.0,0.0,0,,False
30,1,30.56,0.00013729977116705314,,0,0,-0.0,0.0,0,,False
31,1,64.47,0.0003046789989118613,,0,0,0.0,0.0,0,,False
32,1,40.75,0.002340319361277452,,0,0,0.0,0.0,0,,False
33,1,19.75,0.002300796812748994,,0,0,-0.0,0.0,0,,False
34,1,47.8,0.0002935010482180131,,0,0,0.0,0.0,0,,False
35,1,45.18,9.302325581395709e-05,,0,0,0.0,0.0,0,,False
36,1,63.75,0.0011290322580645106,,0,0,0.0,0.0,0,,False
37,1,59.52,0.0008757396449704249,,0,0,0.0,0.0,0,,False
38,1,69.79,0.0004629097182288756,,0,0,0.0,0.0,0,,False
39,1,59.46,0.0003054203725457355,,0,0,-0.0,0.0,0,,False
40,1,74.69,0.0005645920150557813,,0,0,0.0,0.0,0,,False
41,1,41.7,0.0013559322033898484,,0,0,0.0,0.0,0,,False
42,1,30.18,0.0006056572379367678,,0,0,0.0,0.0,0,,False
43,1,38.93,0.0021249683784467523,,0,0,-0.0,0.0,0,,False
44,1,75.71,0.000662547653477059,,0,0,-0.0,0.0,0,,False
45,1,28.47,0.0007337526205450843,,0,0,-0.0,0.0,0,,False
46,1,72.11,0.0001554907677356623,,0,0,0.0,0.0,0,,False
47,1,24.04,0.00011656952539550148,,0,0,0.0,0.0,0,,False
48,1,76.05,3.6827568065230094e-05,,0,0,0.0,0.0,0,,False
49,1,27.54,0.0002036363636363596,,0,0,0.0,0.0,0,,False
0,2,37.9,0.0009173736059090537,,0,0,-0.0,0.0,0,,False
1,2,69.56,0.0020611546473329654,,0,0,-0.0,0.0,0,,False
2,2,62.82,0.0011799294511118503,,0,0,0.0,0.0,0,,False
3,2,31.57,0.0007899081566127781,,0,0,-0.0,0.0,0,,False
4,2,62.74,0.001294217116287681,,0,0,0.0,0.0,0,,False
5,2,28.6,0.001874249305765399,,0,0,0.0,0.0,0,,False
6,2,36.57,0.0022580146982076124,,0,0,-0.0,0.0,0,,False
7,2,42.99,0.001321605675171582,,0,0,0.0,0.0,0,,False
8,2,41.48,0.0019421436923225022,,0,0,-0.0,0.0,0,,False
9,2,69.84,0.0036023429390971058,,0,0,0.0,0.0,0,,False
10,2,26.4,0.0030090251113537437,,0,0,-0.0,0.0,0,,False
11,2,47.21,0.0015068616112933865,,0,0,-0.0,0.0,0,,False
12,2,27.99,0.003931198208685887,,0,0,0.0,0.0,0,,False
13,2,52.4,0.0008058404714892158,,0,0,0.0,0.0,0,,False
14,2,51.25,0.003232744279834269,,0,0,0.0,0.0,0,,False
15,2,50.75,0.0002488605184611446,,0,0,-0.0,0.0,0,,False
16,2,57.97,0.0008851286622478439,,0,0,0.0,0.0,0,,False
17,2,27.9,0.0028716231689677398,,0,0,0.0,0.0,0,,False
